1 1 3 13 34 35 58 
2 44 
3 20 
4 17 
5 15 
6 48 
7 6 31 33 34 35 37 
8 58 
9 1 8 11 31 39 56 
10 43 
11 58 
12 53 
13 3 
14 33 
15 15 
16 22 
17 53 
18 13 
19 15 
20 36 
21 49 
22 7 
23 27 
24 50 
25 24 
26 3 22 33 43 48 54 
27 22 
28 58 
29 6 13 22 40 48 54 
30 46 
31 3 
32 37 
33 51 
34 10 12 17 19 26 40 
35 7 10 14 18 25 31 
36 29 
37 25 
38 18 
39 3 4 7 35 44 52 
40 9 13 33 35 54 58 
41 36 
42 53 
43 14 25 26 36 45 50 
44 51 
45 47 
46 9 11 18 20 38 50 
47 36 
48 9 
49 2 
50 22 
51 15 26 28 38 50 51 
52 11 
53 27 
54 55 
55 17 
56 13 14 17 20 45 55 
57 8 
58 54 
59 53 
60 18 
61 2 19 23 28 34 56 
62 50 
63 55 
64 26 
65 21 
66 12 
67 23 
68 9 
69 3 16 39 43 51 53 
70 1 16 38 40 42 55 
71 1 11 12 22 44 45 
72 37 
73 30 
74 28 
75 4 18 20 26 28 35 
76 19 
77 7 
78 41 
79 18 
80 27 
81 28 32 37 44 45 51 
82 2 
83 55 
84 25 27 34 44 53 55 
85 28 
86 50 
87 7 
88 26 
89 10 19 24 34 47 56 
90 18 
91 44 
92 1 
93 35 
94 15 
95 55 
96 15 21 31 37 41 43 
97 37 
98 52 
99 31 
100 23 
101 21 
102 39 
103 2 7 21 29 34 56 
104 10 
105 12 
106 33 
107 7 21 41 44 47 49 
108 31 
109 6 
110 31 
111 1 
112 32 
113 6 
114 53 
115 40 
116 2 8 22 24 38 54 
117 3 7 28 42 44 55 
118 32 
119 11 13 27 29 41 44 
120 57 
121 52 
122 55 
123 4 15 19 20 27 38 
124 21 
125 54 
126 4 10 15 32 50 54 
127 49 
128 20 
129 11 
130 6 14 17 21 44 58 
131 17 
132 6 
133 38 
134 52 
135 7 10 15 49 50 57 
136 14 
137 18 
138 58 
139 28 
140 15 
141 14 
142 12 
143 42 
144 15 
145 17 
146 2 3 6 7 36 56 
147 16 
148 52 
149 39 
150 26 
151 56 
152 53 
153 34 
154 8 
155 50 
156 8 
157 18 
158 14 
159 39 
160 55 
161 10 
162 28 
163 22 
164 46 
165 48 
166 38 
167 16 
168 32 
169 11 
170 9 21 23 41 46 50 
171 32 
172 52 
173 25 
174 12 
175 37 
176 18 
177 50 
178 24 
179 21 
180 43 
181 14 
182 1 4 15 17 22 44 
183 5 
184 30 
185 5 
186 2 6 7 22 37 56 
187 42 
188 37 
189 25 
190 6 7 17 20 26 34 
191 28 
192 7 9 18 35 40 43 
193 28 
194 33 
195 12 
196 40 
197 33 
198 48 
199 14 
200 6 
201 54 
202 1 3 11 12 15 34 
203 37 
204 11 
205 31 
206 16 
207 21 
208 1 2 11 19 48 53 
209 37 
210 16 
211 24 
212 4 6 8 22 35 49 
213 51 
214 25 
215 47 
216 52 
217 57 
218 18 
219 9 21 29 40 45 52 
220 11 
221 2 3 25 47 51 56 
222 54 
223 8 28 29 45 49 57 
224 45 
225 12 
226 52 
227 37 
228 18 
229 5 12 34 38 45 58 
230 11 13 18 29 33 58 
231 10 
232 1 
233 51 
234 3 33 43 49 50 55 
235 32 
236 36 
237 3 
238 46 
239 33 
240 13 
241 8 
242 19 
243 53 
244 56 
245 57 
246 26 
247 1 12 16 18 44 54 
248 3 
249 32 
250 11 
251 43 
252 17 
253 44 
254 45 
255 57 
256 29 
257 13 14 21 22 23 28 
258 27 
259 46 
260 12 
261 52 
262 29 
263 14 
264 50 
265 44 
266 52 
267 11 
268 7 12 21 23 34 56 
269 39 
270 10 
271 48 
272 20 
273 37 
274 6 
275 35 
276 9 
277 41 
278 12 
279 47 
280 15 31 33 35 45 49 
281 25 
282 36 
283 47 
284 19 
285 34 
286 21 
287 18 
288 43 
289 58 
290 19 
291 42 
292 36 
293 4 12 15 26 53 58 
294 7 
295 14 
296 39 
297 1 5 26 35 51 55 
298 1 6 7 20 43 57 
299 58 
300 40 
301 45 
302 3 7 12 16 32 55 
303 49 
304 45 
305 33 
306 9 15 49 51 52 55 
307 21 25 26 33 38 39 
308 5 
309 32 
310 44 
311 4 
312 56 
313 23 
314 51 
315 34 
316 28 
317 41 
318 50 
319 14 
320 19 
321 53 
322 3 7 10 28 43 55 
323 17 19 26 39 48 55 
324 18 
325 36 
326 16 
327 5 10 29 38 51 52 
328 19 
329 31 
330 41 
331 15 
332 49 
333 45 
334 51 
335 46 
336 21 22 26 36 45 58 
337 12 
338 26 
339 37 
340 8 
341 50 
342 7 
343 18 
344 2 
345 44 
346 20 
347 40 
348 41 
