1	283
1	933
1	1141
1	1359
1	1504
1	1604
1	1706
1	2984
1	3135
1	3388
1	4221
1	4644
1	4660
1	4930
1	5615
2	1684
2	1847
2	2050
2	2485
2	3320
2	3686
2	3714
2	4638
2	4665
2	4834
2	5642
2	5716
2	5754
2	5810
2	5843
3	29
3	402
3	476
3	536
3	602
3	1176
3	1755
3	1932
3	2566
3	5008
3	5325
3	5340
3	5472
3	5778
3	5910
4	630
4	1226
4	1399
4	2734
4	2803
4	3476
4	3604
4	4001
4	4280
4	4607
4	4864
4	4962
4	5132
4	5831
4	5841
5	743
5	1136
5	2061
5	2434
5	3058
5	3389
5	3441
5	4084
5	4432
5	4938
5	5031
5	5066
5	5091
5	5256
5	5621
6	1062
6	1564
6	2040
6	3145
6	3442
6	3684
6	3901
6	3969
6	4190
6	4251
6	5065
6	5574
6	5717
6	5740
6	5922
7	489
7	522
7	940
7	1352
7	1587
7	3190
7	3540
7	4134
7	4286
7	4665
7	4991
7	5304
7	5553
7	5635
7	5866
8	264
8	290
8	295
8	1168
8	1249
8	1998
8	2821
8	3417
8	4317
8	4390
8	4785
8	5185
8	5561
8	5603
8	5733
9	735
9	943
9	1855
9	2521
9	2775
9	3247
9	3431
9	3492
9	4228
9	4366
9	4756
9	5079
9	5422
9	5747
9	5867
10	1265
10	1477
10	2149
10	3481
10	4141
10	4491
10	4881
10	4886
10	5267
10	5347
10	5739
10	5774
10	5791
10	5959
10	5979
11	986
11	1401
11	1915
11	2322
11	2562
11	2620
11	3699
11	3712
11	3833
11	4105
11	4430
11	4903
11	5618
11	5780
11	5831
12	1347
12	2407
12	2454
12	2833
12	2961
12	3272
12	4039
12	4143
12	4870
12	5136
12	5215
12	5402
12	5735
12	5806
12	5991
13	270
13	1413
13	1504
13	1901
13	4109
13	4306
13	4346
13	4487
13	4717
13	4829
13	4977
13	5078
13	5133
13	5257
13	5590
14	1028
14	2369
14	2423
14	3274
14	3743
14	3754
14	3858
14	4738
14	4807
14	5052
14	5328
14	5454
14	5484
14	5572
